,Longitude,Latitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,geometry
257342,725014.73098,1714957.0136,-90.70197,172.30258,-0.00052873814,0.25223002,1492.8549,25073.602,24664.799,2804.3005,1492.8549,0.84615386,54429.562,1076.6833,7031.211,POINT (725014.73098 1714957.0136)
252391,737914.73098,1715457.0136,-87.45388,76.98385,0.0009486957,0.17357607,6269.8413,36027.234,14680.754,1625.0481,6269.8413,0.9230769,42114.45,8555.017,1354.815,POINT (737914.73098 1715457.0136)
974693,730514.73098,1644357.0136,-73.55708,-178.66785,0.0020330835,-0.017212003,7525.4644,19765.584,20516.033,2237.8496,7525.4644,0.6923077,17700.146,16348.759,5612.509,POINT (730514.73098 1644357.0136)
990077,744914.73098,1642857.0136,-79.89315,-350.41486,0.0018114381,-0.9226186,6940.065,7190.707,15365.995,433.37332,6940.065,0.84615386,8671.223,21715.867,4789.132,POINT (744914.73098 1642857.0136)
978589,713714.73098,1643957.0136,-80.21615,-105.0611,0.0004602811,0.16335991,4278.104,18988.373,25393.049,4121.4355,4278.104,0.84615386,33878.87,1500.3857,7326.8633,POINT (713714.73098 1643957.0136)
1210153,705314.73098,1621157.0136,-70.818405,-5.2893047,0.0003330624,-0.2917396,3061.1755,25652.55,31632.951,7896.058,3061.1755,0.61538464,51344.027,10113.938,4380.462,POINT (705314.73098 1621157.0136)
1304139,756714.73098,1611957.0136,-83.40065,-10.169942,0.0007393739,0.04915329,8029.767,21984.928,684.31934,839.6018,8029.767,0.9230769,14276.927,49229.746,1759.2711,POINT (756714.73098 1611957.0136)
1020241,713314.73098,1639857.0136,-79.697395,-88.88447,-0.0001679632,0.070079416,3651.2024,22917.863,27840.14,2297.5693,3651.2024,0.84615386,35379.887,1341.4346,11393.8125,POINT (713314.73098 1639857.0136)
886333,733714.73098,1653057.0136,-85.448204,212.06192,-0.0017613802,0.008750953,374.96707,16811.191,13481.576,1435.7053,374.96707,0.84615386,13174.05,14654.795,4082.431,POINT (733714.73098 1653057.0136)
1461278,722614.73098,1596457.0136,-71.680504,56.979755,0.0007416128,0.2650631,2395.9304,40993.234,25450.115,2126.2212,2395.9304,1.0,25080.707,34422.105,2288.901,POINT (722614.73098 1596457.0136)
231106,743014.73098,1717557.0136,-88.78965,28.584772,-0.00023539092,0.17013682,11772.11,38495.785,9673.157,1962.9039,11772.11,0.9230769,38057.418,4744.257,4918.662,POINT (743014.73098 1717557.0136)
1155742,750614.73098,1626557.0136,-79.038185,-48.807404,-0.0007120763,-0.15714073,3735.3125,10805.568,13988.23,779.1854,3735.3125,0.7692308,17040.635,37285.68,2001.1558,POINT (750614.73098 1626557.0136)
